sentence,word,pos
0,﻿६१,CD
0, वर्षीय,JJ
0, पियरे,NNP
0, भिन्केन,NNP
0, नोभेम्बर,NNP
0, २९,CD
0, बाट,POP
0, सल्लाहकार,NN
0,को,PKO
0, रूप,NN
0, मा,POP
0, सञ्चालक,NN
0, समिति,NN
0,मा,POP
0, आउनुहुनेछ,VBX
0, ।,YF
1,श्री,NN
1, भिन्केन,NNP
1, डच,NNP
1, प्रकाशन,NN
1, समूह,NN
1, एल्सेभियर,NNP
1, एन.भी.,FB
1, को,PKO
1, अध्यक्ष,NN
1, हुनुहुन्छ,VBF
1, ।,YF
2,कन्सोलिडेटिड,NNP
2, गोल्ड,NN
2, फिल्ड्स,NN
2, पीएलसी,NNP
2,का,PKO
2, पूर्व,JJ
2, सभापति,NN
2, ५५,CD
2, वर्षीय,JJ
2, रूडोल्फ,NNP
2, अग्न्यु,NNP
2,लाई,PLAI
2, यस,DUM
2, ब्रिटिस,NNP
2, औद्योगिक,JJ
2, समूह,NN
2,को,PKO
2, सल्लाहकार,NN
2,को,PKO
2, रूप,NN
2,मा,POP
2, मनोनयन,NN
2, गरिएको,VBKO
2, थियो,VBX
2, ।,YF
3,एकताका,RBO
3, केन्ट,NNP
3, चुरोट,NN
3,को,PKO
3, फिल्टर,NN
3, बनाउन,VBI
3, प्रयोग,NN
3, भएको,VBKO
3, एक,CD
3, प्रकार,NN
3,को,PKO
3, अस्बेस्टोस,NNP
3, तीस,CD
3, वर्ष,NN
3,भन्दा,VBO
3, अगाडि,RBO
3, यस,DUM
3,को,PKO
3, सम्पर्क,NN
3,मा,POP
3, आएका,VBKO
3, कामदार,NN
3,हरू,HRU
3,को,PKO
3, समूह,NN
3,मा,POP
3, क्यान्सर,NNP
3,बाट,POP
3, मृत्यु,NN
3, हुनेको,VBKO
3, उच्च,JJD
3, प्रतिशत,NN
3,को,PKO
3, कारण,NN
3, बनेको,VBKO
3, छ,VBX
3," ,",YM
3, अनुसन्धाता,NN
3,हरू,HRU
3,ले,PLE
3, जानकारी,NN
3, दिए,VBF
3, ।,YF
4,यस,DUM
4,सँग,POP
4,को,PKO
4, छोटो,JJM
4, सम्पर्क,NN
4,बाट,POP
4, मात्र,RP
4, पनि,RP
4, दशकौँ,NN
4,पछि,POP
4, देखा,JJ
4, पर्ने,VBNE
4, लक्षण,NN
4,हरू,HRU
4, विकास,NN
4, गराउने,VBNE
4, अस्बेस्टोस,NNP
4, रेशा,NN
4," ,",YM
4, क्रोसिडोलाइट,NNP
4," ,",YM
4, एक,CD
4,पटक,RBO
4, फोक्सो,NN
4,मा,POP
4, छिरे,VBO
4,पछि,POP
4, असामान्य,JJ
4, रूप,NN
4,ले,PLE
4, लचिलो,NN
4, हुन्छ,VBF
4," ,",YM
4, अनुसन्धाता,NN
4,हरू,HRU
4,ले,PLE
4, बताए,VBF
4, ।,YF
5,न्युयोर्क,NNP
5, स्थित,JJ
5, केन्ट,NNP
