sentence,word,pos
1,महत्वपूर्ण,JJ
1,भविष्यवाणी,NN
1,हरू,HRU
1,-,YM
2,१,CD
2,),YB
2,नियामत,NNP
2,उल्ला,NNP
2,वल्ली,NNP
2,साहेव,NN
2,–,YM
3,पटना,NNP
3,को,PKO
3,खूदावक्स,NNP
3,ओरियन्टल,NNP
3,लाईब्रेरी,NN
3,मा,POP
3,फारसी,JJ
3,कसीदा,JJ
3,को,PKO
3,एउ,CD
3,टा,CL
3,पुरानो,JJM
3,पुस्तक,NN
3,छ,VBF
3,जो,DUM
3,बुखारा,NNP
3,को,PKO
3,सुप्रसिद्ध,JJ
3,सन्त,NNP
3,नियामत,NNP
3,उल्ला,NNP
3,वल्ली,NNP
3,साहब,NN
3,ले,PLE
3,लेखे,VBF
3,का,PKO
3,हुन्,VBF
3,।,YF
4,श्री,NN
4,उल्ला,NNP
4,वल्ली,NNP
4,साहव,NN
4,को,PKO
4,ख्याति,NN
4,जति,DUM
4,एउ,CD
4,टा,CL
4,सन्त,NN
4,र,CC
4,ईश्‍वरउपासक,NN
4,को,PKO
4,रूप,NN
4,मा,POP
4,छ,VBF
4,त्यसभन्दा,RBM
4,बढि,JJ
4,ख्याति,NN
4,एउ,CD
4,टा,CL
4,भविश्य,NN
4,वक्ता,NN
4,को,PKO
4,रूप,NN
4,मा,POP
4,छ,VBF
4,।,YF
5,यस,DUM
5,पुस्तक,NN
5,मा,POP
5,उन,DUM
5,ले,PLE
5,जापान,NNP
5,र,CC
5,रूस,NNP
5,मा,POP
5,लडाई,NN
5,हुने,VNE
5,कुरा,NN
5,पहिले,RBM
5,नै,RP
5,बताई,VBF
5,दिईए,VBF
5,को,PKO
5,थियो,VBF
5,जो,DUM
5,१९०४,CD
5,मा,POP
5,घटित,JJ
5,भयो,VBF
5,।,YF
6,जापान,NNP
6,मा,POP
6,भयंकर,JJ
6,भूकम्प,NN
6,आउनेछ,VBF
6,भने,VBF
6,को,PKO
6,मा,POP
6,१९२३,CD
6,मा,POP
6,भूकम्प,NN
6,आयो,VBF
6,।,YF
7,प्रथम,OD
